full_name,age,season,position,Current_Club,minutes_played_overall,minutes_played_home,minutes_played_away,goals_overall,goals_home,goals_away,goals_per_90_overall,goals_per_90_home,goals_per_90_away
Felipe Anderson,29,2018/2019,Midfielder,West Ham United,3054,1439,1615,9,4,5,0.27,0.25,0.28
Fernandinho,37,2018/2019,Midfielder,Manchester City,2381,1286,1095,1,1,0,0.04,0.07,0
Fernando Llorente Torres,37,2018/2019,Forward,Tottenham Hotspur,683,508,175,1,1,0,0.13,0.18,0
Florent Hadergjonaj,28,2018/2019,Defender,Huddersfield Town,1840,1011,829,0,0,0,0,0,0
Florian Lejeune,31,2018/2019,Defender,Newcastle United,1055,515,540,0,0,0,0,0,0
Florin Andone,29,2018/2019,Forward,Brighton & Hove Albion,874,416,458,3,2,1,0.31,0.43,0.2
Floyd Ayité,33,2018/2019,Midfielder,Fulham,465,296,169,1,0,1,0.19,0,0.53
Fousseni Diabaté,27,2018/2019,Midfielder,Leicester City,55,0,55,0,0,0,0,0,0
Fraser Forster,34,2018/2019,Goalkeeper,Southampton,90,0,90,0,0,0,0,0,0
Fred,29,2018/2019,Midfielder,Manchester United,1045,577,468,1,1,0,0.09,0.16,0
Freddie Woodman,25,2018/2019,Goalkeeper,Newcastle United,0,0,0,0,0,0,0,0,0
Gabriel Jesus,25,2018/2019,Forward,Manchester City,1019,702,317,7,5,2,0.62,0.64,0.57
Gaëtan Bong Songo,34,2018/2019,Defender,Brighton & Hove Albion,1805,720,1085,0,0,0,0,0,0
Gary Cahill,36,2018/2019,Defender,Chelsea,22,1,21,0,0,0,0,0,0
Gary Madine,32,2018/2019,Forward,Cardiff City,32,17,15,0,0,0,0,0,0
George Marsh,23,2018/2019,Midfielder,Tottenham Hotspur,0,0,0,0,0,0,0,0,0
Georges-Kevin N'Koudou Mbida,27,2018/2019,Forward,Tottenham Hotspur,4,0,4,0,0,0,0,0,0
Georginio Wijnaldum,31,2018/2019,Midfielder,Liverpool,2735,1413,1322,3,1,2,0.1,0.06,0.14
Gerard Deulofeu,28,2018/2019,Forward,Watford,2082,949,1133,10,3,7,0.43,0.28,0.56
Glenn Murray,39,2018/2019,Forward,Brighton & Hove Albion,2513,1383,1130,13,8,5,0.47,0.52,0.4
Gonzalo Higuain,34,2018/2019,Forward,Chelsea,1092,496,596,5,4,1,0.41,0.73,0.15
Grady Diangana,24,2018/2019,Midfielder,West Ham United,604,326,278,0,0,0,0,0,0
Granit Xhaka,30,2018/2019,Midfielder,Arsenal,2502,1317,1185,4,2,2,0.14,0.14,0.15
Greg Cunningham,31,2018/2019,Defender,Cardiff City,630,450,180,0,0,0,0,0,0
Gylfi Sigurdsson,33,2018/2019,Midfielder,Everton,3134,1602,1532,13,7,6,0.37,0.39,0.35
Hamza Choudhury,25,2018/2019,Midfielder,Leicester City,596,308,288,0,0,0,0,0,0
Harry Arter,32,2018/2019,Midfielder,Cardiff City,2008,1186,822,0,0,0,0,0,0
Harry Kane,29,2018/2019,Forward,Tottenham Hotspur,2427,1066,1361,17,6,11,0.63,0.51,0.73
Harry Maguire,29,2018/2019,Defender,Leicester City,2599,1350,1249,3,0,3,0.1,0,0.22
Harry Winks,26,2018/2019,Midfielder,Tottenham Hotspur,1591,832,759,1,0,1,0.06,0,0.12
